PC1,PC2,label
-1.2010264819778818,-0.90642247221869,RMALOS
-1.0682339792956395,-0.8938763703526129,RMALOS
-1.1491289073493793,-0.8596514814737539,RMALOS
-1.1311919475068084,-0.8576860570366989,RMALOS
-1.0530573962798118,-0.8348903801858742,RMALOS
-1.1179168167170843,-0.8132870312930235,RMALOS
-1.067658368142038,-0.8081634985042802,RMALOS
-1.0984869122670406,-0.8691345368163611,RMALOS
-0.9441188410164408,-0.873661927917862,RMALOS
-1.0818584949201484,-0.7590626273247851,RMALOS
-1.1404020337551413,-0.7476506346103998,RMALOS
-1.1334954798389747,-0.8465843671068379,RMALOS
-1.107851534713393,-0.8840683391169352,RMALOS
-1.1541139258140156,-0.7537411159354126,RMALOS
-1.0853291484283734,-0.9190861219119922,RMALOS
-1.1688023626213642,-0.9357068621307163,RMALOS
-1.120315638347984,-0.865763343123738,RMALOS
-1.0049975429654312,-0.734669418331542,RMALOS
-0.9983864554492027,-0.9042971006906992,RMALOS
-1.0789617792439032,-0.9164647067661035,RMALOS
-1.1208973572387562,-0.9837071835842436,RMALOS
-1.023321082032148,-1.0253634827165035,RMALOS
-1.0628826205583586,-0.8816996454701417,RMALOS
-1.0050520268860814,-0.8558495259722604,RMALOS
-1.127475603173988,-0.8938250717499935,RMALOS
-1.0172241009335097,-0.8919888806494569,RMALOS
-1.0083336820744504,-0.9205902248455037,RMALOS
-1.087089054405143,-0.9026774583430415,RMALOS
-1.0249226107849911,-0.9074181925727455,RMALOS
-1.0260113002090008,-0.8991534674867097,RMALOS
-1.039836716108241,-0.8577995933720979,RMALOS
-1.2712489295083156,-0.7569579468852926,RMALOS
-1.0221374754193917,-0.9297173220280326,RMALOS
-0.9863147260982278,-0.8871444310047057,RMALOS
-1.1557992137155615,-0.8120488875492323,RMALOS
-1.0360656260893144,-0.7136759977455773,RMALOS
-0.8965573235407024,-0.8361654217029587,RMALOS
-1.004698829334065,-0.9112862708024945,RMALOS
-1.0918311920123054,-0.9508653772583411,RMALOS
-0.9500090519615305,-0.9012195095983682,RMALOS
-1.0880725146058483,-1.1072561783443844,RMALOS
-0.8943338673537465,-0.932401101082937,RMALOS
-1.0115711026349257,-0.791787954424818,RMALOS
-0.9937475404397659,-0.8176925839719675,RMALOS
-0.9889090846884803,-0.8781640234346987,RMALOS
-0.9340479017484318,-0.9412999095619032,RMALOS
-0.9516149706943224,-0.9239039956729784,RMALOS
-0.8688338472830789,-1.0533443426817388,RMALOS
-1.0467169250992405,-0.8865952416928748,RMALOS
-0.9886569063066969,-0.919084003669951,RMALOS
-0.9836127700733094,-0.8156275864462977,RMALOS
-0.9331322144074823,-0.9642590679472267,RMALOS
-0.9598033495941838,-0.7633391590433674,RMALOS
-0.9520876707290779,-0.85317841974505,RMALOS
-1.022596646698693,-0.8335548912866515,RMALOS
-0.9999717003869606,-0.8460685618597084,RMALOS
-1.0190974077377226,-0.9384142337959754,RMALOS
-1.0122165851017564,-0.920488222299395,RMALOS
-0.9657495639305453,-0.9970807839107041,RMALOS
-0.8561737128213454,-0.7791451352119751,RMALOS
-0.9801070164493308,-0.9049577765805005,RMALOS
-0.9783573710597375,-0.975777017833389,RMALOS
-0.9016075941707501,-0.8099349370725021,RMALOS
-0.8782072391000015,-0.8239589534011769,RMALOS
-0.9748739968031305,-0.9010996057680615,RMALOS
-0.9162029163081374,-0.8497222276458543,RMALOS
-0.885041967139413,-0.9423113591059573,RMALOS
-0.809270611265032,-0.8062346533693467,RMALOS
-0.8660805714821153,-0.8780324297049077,RMALOS
-0.8185590172241105,-0.8637155330291588,RMALOS
-0.848864759343492,-0.9402600929835025,RMALOS
-1.0082151930002567,-0.8561040045119424,RMALOS
-0.8420646495629225,-0.8676199912168936,RMALOS
-0.8418744974627957,-0.94630726694914,RMALOS
-0.8602641588539628,-0.9274722576334442,RMALOS
-0.8396019877098896,-0.7943489581703556,RMALOS
-1.0113172950577078,-0.825492804721203,RMALOS
-0.8508131595929429,-0.7607903823136399,RMALOS
-0.8399675374062726,-0.8501286512758314,RMALOS
-0.8263368309636049,-0.9829923462868206,RMALOS
-1.0030628882741373,-0.804210472635941,RMALOS
-0.7750634608579201,-0.8320617566839543,RMALOS
-0.8775514403252053,-0.8274035564723544,RMALOS
-0.8639392143461297,-0.8535253251668302,RMALOS
-0.7620251945029203,-0.8630663967721175,RMALOS
-0.8520525873945649,-0.7861650657956039,RMALOS
-0.8022687991533759,-0.8543421254798351,RMALOS
-0.8042157483777012,-0.7648246805537211,RMALOS
-0.782849181541039,-0.8543515804494659,RMALOS
-0.7600489473185081,-0.6961863422469657,RMALOS
-0.7886187302250335,-0.9462913001992691,RMALOS
-0.5629645125775191,-0.7593707997607188,RMALOS
-0.7433462947969279,-0.9433461736403291,RMALOS
-0.8699917539560982,-0.8340091528707895,RMALOS
-0.822595548273515,-0.8435873779741673,RMALOS
-0.8533173650548155,-0.8344289265013742,RMALOS
-0.8030468565747229,-0.9395160688251072,RMALOS
-0.6610885642444606,-0.8736219240388019,RMALOS
-0.6939977847127554,-0.8327454796334962,RMALOS
